review_id,text,score,entities,sentiment
165257,"having tried a couple of other brands of gluten-free sandwich cookies, these are the best of the bunch. they're crunchy and true to the texture of the other ""real"" cookies that aren't gluten-free. som...",5,{},positive
231466,"my cat loves these treats. if ever i can't find her in the house, i just pop the top and she bolts out of wherever she was hiding to come get a treat. she doesn't like crunchy treats much, so these ar...",5,{},positive
427828,a little less than i expected. it tends to have a muddy taste - not what i expected since they said it was the favorite of the company....,3,{},neutral
433955,"first there was frosted mini-wheats, in original size, then there was frosted mini-wheats bite size. well, if for some reason those were too much of a mouthful, we now have frosted mini-wheats little ...",2,{},positive
70261,"and i want to congratulate the graphic artist for putting the entire product name on such a small box. the ad men must have really thought long and hard.but seriously, i love the product. the taste wa...",5,{},positive
49867,"please add more pineapple flavor to your packages of lifesavers, in fact, can you sell pineapple flavor by itself?...",4,{},neutral
551048,i absolutely love yorkshire tea and am so glad it is now available on amazon! a cup of this full-bodied black tea with milk in the morning is how i start each day and just love it!...,5,{'BRAND': ['amazon']},positive
18984,i have such a hard time finding loose tea locally. being able to order my favorite lady grey tea on amazon is convenient and timesaving. the tea comes in a six-pack of tins that are just the right siz...,5,{'BRAND': ['amazon']},neutral
138969,"previously, i've attempted a recipe with white rice noodles and overcooked them, which made them soggy. so i was determined not to overcook these brown rice noodles. i tried making two dishes. the fir...",4,{},positive
36353,"i make pancakes or waffles every saturday morning with my kids, and there simply is no comparison between this product and any other baking powder i have come across. even the more expensive brands fr...",5,{},positive
472685,"i am a lover of coffee and will try almost any coffee product once. i own a coffee pod maker at work, and i have been using senseo's medium roast and espresso pods for a few months, but after trying m...",4,{'ORG': ['marley coffee']},positive
193069,in the uk this is one of the most popular chocolate bars. it is a light honeycomb bar covered in cadburys milk chocolate. if you like toffee and chocolate you will love these!...,5,{},positive
258083,my daughter bought a keurig coffee maker for my husband for christmas. his favorite coffee is starbucks house blend so when i found that i could get the k cups i decided to get several for him for chr...,5,{},neutral
44300,comparable flavor to starbucks and cost much less. i don't know why anyone would buy a 12 pack. all flavors are good as well....,4,{},positive
